phase,condition,left_face,right_face,rewarded_resp,correct_resp
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-02\id-1264_gender-F_age-26_rewardprob-80_session-plusmin.png,logs\sub-02\id-1355_gender-F_age-19_rewardprob-20_session-plusmin.png,f,f
